taxa	pred_type	manual_est_range		type	typeSimple	meanA	meanB	meanC	A	B	sigAB	sigBC	sigAC	bloom	boundaries	boundariestwo
FLOH01000032.381891.383390				brackishRestricted	brackishRestricted	0.002739954	0.072530674	0.004596682	9	11	4.27E-18	8.02E-12	0.109883465	No	9	11
FLOH01000033.374657.376189	brackishRestricted	6 to 13	YES	brackishRestricted	brackishRestricted	0.000172582	0.003046311	0	11	13	4.60E-09	2.32E-05	0.21461646	No	11	13
FLOH01000047.159880.161418				brackishRestricted	brackishRestricted	0	0.001855983	0	10	12	3.67E-09	8.18E-05	1	No	10	12
FLOH01000107.80443.81948				brackishRestricted	brackishRestricted	1.52E-05	0.002440912	0	10	12	9.07E-06	0.000837913	0.264712497	No	10	12
FLOH01000118.218629.220166	brackishRestricted	5 to 16	YES	brackishRestricted	brackishRestricted	7.94E-05	0.007557345	0.000804729	9	11	4.08E-12	2.10E-05	0.014835281	No	9	11
FLOH01000147.105360.106881	freshRestricted	0 to 20	YES	freshRestricted	freshRestricted	0.014923949	0.003704775	0.001239255	4	9	9.40E-06	0.023747759	9.23E-09	No	4.900831226	
FLOH01000152.132669.134207				brackishRestricted	brackishRestricted	0.000341244	0.008965817	0.00031688	10	13	1.82E-11	1.23E-05	0.253897029	No	10	13
FLOH01000248.51847.53388				freshRestricted	freshRestricted	0.097423172	0.053405444	0.004621642	8	17	6.05E-06	7.49E-12	2.25E-17	No	12.73110967	
FLOH01000378.67046.68547				freshRestricted	freshRestricted	0.037678315	0.049150676	0.003429863	7	13	0.313712832	2.06E-14	5.62E-13	No	13	
FLOH01000574.37660.39166	brackishRestricted	3 to 15	 NO	freshRestricted	freshRestricted	0.009409796	0.004058961	0	7	20	0.00060775	0.000110423	7.55E-07	No	12.6076126	
FLOH01001865.2173.3719	brackishRestricted	4 to 15	YES	brackishRestricted	brackishRestricted	0.000842009	0.021323758	0.000150631	10	13	4.78E-10	3.66E-06	0.282848656	No	10	13
